instance_name	best_known_global
N-t1d100.01	106852
N-t1d100.02	105947
N-t1d150.01	235056
N-t1d150.02	234421
N-t1d200.01	410871
N-t1d200.02	407729
N-t2d150.01	76041
N-t2d150.02	73624
N-t2d200.01	147742
N-t2d200.02	144218
N-p50-01	44667
N-p50-02	43835
N-be75eec_150	3482828
N-be75np_150	7174325
N-be75eec_250	8893533
N-be75np_250	17814072
N-atp111	1495
N-atp134	1796
tho30	149936
kra30a  88900
kra30b  91420
kra32   88700
nug30	6124
nug12	578
rec05	1300
rec13	2200
rec19	2325
# We need more cpu time to run these on CEGO
#rec31	3525
